alg,lambda_,degree,constant,numruns,gen_number,cnt,av_min_loss,std_min_loss,av_max_span,std_max_span,av_av_tdepth,std_av_tdepth,av_av_tsize,std_av_tsize,av_cnt_event,std_cnt_event
canonical-ea,500,100,none,100,19,100,20.0508683620352,5.6037164944419064,13.42,2.5813949717158744,9.188232931726908,0.742835362469959,45.919156626506016,6.6083125601032116,15.27,3.4142495515120155
canonical-ea,500,100,none,100,20,100,19.407155007645475,5.270021848187262,13.94,2.6450708875188957,9.437791164658634,0.8013092895221899,47.46947791164658,6.894112028740756,15.27,3.4142495515120155
canonical-ea,500,100,none,100,21,100,18.16809589156977,5.052243088830163,14.9,3.1256999216175565,9.664779116465864,0.8571086943594431,48.80020080321287,7.0064861155889355,15.27,3.4142495515120155
canonical-ea,500,100,none,100,22,100,17.9687521350669,5.112384144538129,15.12,3.3890411623348573,9.873734939759037,0.8830371128489826,50.16289156626506,7.419417656742857,15.27,3.4142495515120155
canonical-ea,500,100,none,100,23,100,17.329415559650315,4.99908507791833,15.94,3.449115828730604,10.141666666666667,0.9875302090853869,52.028192771084335,7.95914770073169,15.27,3.4142495515120155
canonical-ea,500,100,none,100,24,100,16.459976374854683,4.812448469333219,16.45,3.747999466382032,10.308273092369479,0.9943777322537074,53.14827309236948,8.024225020777875,15.27,3.4142495515120155
canonical-ea,500,100,none,100,25,100,16.118373074697146,4.849124413967439,17.26,4.283970121277692,10.53805220883534,1.1093179486098137,54.69441767068273,8.467483176768006,15.27,3.4142495515120155
canonical-ea,500,100,none,100,26,100,15.380841605466262,5.0426017630335975,17.42,4.133231181533402,10.776044176706828,1.2477076108887213,56.203935742971886,9.27630973421675,15.27,3.4142495515120155
canonical-ea,500,100,none,100,27,100,14.801157933991231,5.028628139385286,18.74,5.189643533037698,10.993574297188752,1.3643210448264134,57.76706827309237,9.89037461413384,15.27,3.4142495515120155
canonical-ea,500,100,none,100,28,100,14.43686087387896,4.7055569434431295,18.81,4.394758241359813,11.291967871485943,1.4287965189588154,59.79642570281123,10.353248721973541,15.27,3.4142495515120155
canonical-ea,500,100,none,100,29,100,13.811804964200284,4.67162703057342,19.38,4.406313652022516,11.533574297188757,1.419220630127921,61.593212851405625,10.612632550128078,15.27,3.4142495515120155
canonical-ea,500,100,none,100,30,100,13.634050274524212,4.514491975109868,20.29,5.167775149907357,11.73789156626506,1.5191136240329546,62.98502008032129,11.072957283922136,15.27,3.4142495515120155
canonical-ea,500,100,none,100,31,100,12.889395595531758,4.510939141954016,20.33,4.7624678476604965,11.928012048192773,1.6108630826017396,64.54397590361447,11.620286416188359,15.27,3.4142495515120155
canonical-ea,500,100,none,100,32,100,12.665671113895922,4.5952404565761995,21.2,5.48270006474912,12.0983734939759,1.7525315151015142,65.84096385542169,12.38967233549614,15.27,3.4142495515120155
canonical-ea,500,100,none,100,33,100,11.996468306574968,4.207609648793937,21.6,4.862098312457287,12.366265060240965,1.8026806443527663,67.73180722891566,12.857858966822205,15.27,3.4142495515120155
canonical-ea,500,100,none,100,34,100,11.585905255119485,4.227797318140417,22.4,5.711392124517454,12.652168674698796,1.8404124089986478,69.93867469879518,13.42039079896515,15.27,3.4142495515120155
canonical-ea,500,100,none,100,35,100,11.158298772300036,4.096662684597115,22.96,5.370139662988292,12.875060240963858,1.900055528428768,71.68128514056225,14.360956991044077,15.27,3.4142495515120155
canonical-ea,500,100,none,100,36,100,10.550502699907451,3.6004337296739584,23.15,5.62916512459885,13.098534136546185,2.024976964199101,73.35301204819277,14.79617192389825,15.27,3.4142495515120155
canonical-ea,500,100,none,100,37,100,10.026633333416074,3.7037073978096333,24.32,6.700567140175523,13.322409638554218,2.211913377814553,74.91614457831326,15.910038298184553,15.27,3.4142495515120155
canonical-ea,500,100,none,100,38,100,9.678911854090511,3.4428505661209288,25.42,7.096731642101172,13.606646586345382,2.3259632044706025,76.97192771084337,16.723031148943523,15.27,3.4142495515120155
canonical-ea,500,100,none,100,39,100,9.087172254570195,3.282243147725975,26.1,7.856844150166148,13.948112449799194,2.461233351752827,79.41863453815262,17.558751247323865,15.27,3.4142495515120155
canonical-ea,500,100,none,100,40,100,8.743040624296647,3.543920257202799,26.69,7.556050555680526,14.134156626506023,2.568979161573301,80.93963855421687,18.504675366533718,15.27,3.4142495515120155
canonical-ea,500,100,none,100,41,100,8.715885448717467,3.684425710148975,26.99,7.269793669699299,14.424176706827307,2.6902012258870043,83.20321285140562,19.535316766093,15.27,3.4142495515120155
canonical-ea,500,100,none,100,42,100,8.47133981557508,3.7738704184096443,28.68,8.367652000412063,14.731405622489959,2.913539726878796,85.61887550200804,20.867080964590485,15.27,3.4142495515120155
