alg,benchmark,constant,numruns,instance,evals_to_tol_0,evals_to_tol_1,evals_to_tol_2,evals_to_tol_3,evals_to_tol_4,evals_to_tol_5,evals_to_tol_6,evals_to_tol_7,evals_to_tol_8,evals_to_tol_9
ftg,nguyen4,koza-erc,100,21,121,121,170,232,504,504,972,972,972,972
ftg,nguyen4,koza-erc,100,84,32,407,407,1999,1999,1999,1999,1999,5265,5265
ftg,nguyen4,koza-erc,100,83,30,142,142,295,418,418,100103,100103,1000000000,1000000000
ftg,nguyen4,koza-erc,100,62,227,258,258,258,418,459,691,691,691,691
ftg,nguyen4,koza-erc,100,73,59,121,121,262,434,478,12286,12286,12286,12286
ftg,nguyen4,koza-erc,100,28,117,165,165,281,2249,3262,3599,17768,17768,17768
ftg,nguyen4,koza-erc,100,27,98,119,119,119,119,361,466,574,734,734
ftg,nguyen4,koza-erc,100,92,64,122,122,122,199,199,269,269,658,1000000000
ftg,nguyen4,koza-erc,100,72,58,191,191,314,351,715,715,846,846,846
ftg,nguyen4,koza-erc,100,64,20,31,229,267,339,519,519,519,519,519
ftg,nguyen4,koza-erc,100,52,87,107,206,341,341,382,518,518,518,1000000000
ftg,nguyen4,koza-erc,100,7,143,224,328,367,445,489,542,542,542,542
ftg,nguyen4,koza-erc,100,51,78,143,326,326,459,504,504,504,504,504
ftg,nguyen4,koza-erc,100,82,64,230,332,410,410,456,525,525,525,525
ftg,nguyen4,koza-erc,100,3,61,429,503,1195,1195,1195,1195,1195,1195,1195
ftg,nguyen4,koza-erc,100,39,78,118,143,432,473,947,1588,1588,1588,1588
ftg,nguyen4,koza-erc,100,33,79,144,197,197,260,413,2143,2143,2143,2143
ftg,nguyen4,koza-erc,100,38,80,172,259,453,497,497,497,497,497,497
ftg,nguyen4,koza-erc,100,19,75,144,171,203,274,350,997,997,997,997
ftg,nguyen4,koza-erc,100,76,97,168,198,305,340,381,594,594,594,594
ftg,nguyen4,koza-erc,100,79,31,31,177,303,338,484,484,788,1007,1007
ftg,nguyen4,koza-erc,100,96,58,77,275,275,351,401,913,913,913,913
ftg,nguyen4,koza-erc,100,75,65,101,197,231,231,305,305,411,2085,2085
ftg,nguyen4,koza-erc,100,93,96,168,168,224,295,370,416,1606,1606,1606
ftg,nguyen4,koza-erc,100,48,78,97,203,414,457,690,690,690,690,690
ftg,nguyen4,koza-erc,100,68,78,121,197,404,404,448,494,494,494,494
ftg,nguyen4,koza-erc,100,70,180,208,237,373,501,546,546,546,546,546
ftg,nguyen4,koza-erc,100,50,81,100,100,180,313,427,477,477,605,605
ftg,nguyen4,koza-erc,100,89,32,124,149,149,149,343,385,385,385,1000000000
ftg,nguyen4,koza-erc,100,8,164,164,164,341,476,476,534,534,534,534
ftg,nguyen4,koza-erc,100,69,20,44,83,132,212,273,409,855,1202,1202
ftg,nguyen4,koza-erc,100,20,32,45,98,143,266,302,707,707,707,707
ftg,nguyen4,koza-erc,100,85,77,117,141,141,291,291,291,1149,1000000000,1000000000
ftg,nguyen4,koza-erc,100,15,44,77,143,203,350,547,547,547,595,595
ftg,nguyen4,koza-erc,100,59,58,166,166,166,294,378,435,549,713,1000000000
ftg,nguyen4,koza-erc,100,40,59,118,141,330,420,510,510,510,510,510
ftg,nguyen4,koza-erc,100,66,30,30,238,383,423,464,464,598,598,598
ftg,nguyen4,koza-erc,100,25,30,199,260,773,773,1387,18405,18405,18405,18405
ftg,nguyen4,koza-erc,100,97,47,47,102,231,296,296,296,998,998,1000000000
ftg,nguyen4,koza-erc,100,4,118,167,5156,5156,5156,7048,7048,7048,7048,7048
ftg,nguyen4,koza-erc,100,88,58,139,223,295,680,680,680,680,680,680
ftg,nguyen4,koza-erc,100,43,38,83,83,175,317,441,554,554,554,554
ftg,nguyen4,koza-erc,100,55,31,146,146,198,634,634,1045,1045,1045,1045
ftg,nguyen4,koza-erc,100,99,97,97,144,262,449,526,571,787,787,787
ftg,nguyen4,koza-erc,100,81,59,96,117,378,378,420,511,511,511,511
ftg,nguyen4,koza-erc,100,29,50,50,66,177,304,380,426,610,610,1000000000
ftg,nguyen4,koza-erc,100,77,118,118,142,237,419,520,520,520,520,520
ftg,nguyen4,koza-erc,100,98,166,222,253,286,405,448,448,448,600,600
ftg,nguyen4,koza-erc,100,65,76,141,141,141,488,688,1878,1878,1878,1878
ftg,nguyen4,koza-erc,100,78,103,125,236,1796,8040,8040,8040,8040,8040,1000000000
ftg,nguyen4,koza-erc,100,37,46,119,170,253,498,550,550,550,550,550
ftg,nguyen4,koza-erc,100,90,47,119,261,356,356,398,100017,1000000000,1000000000,1000000000
ftg,nguyen4,koza-erc,100,12,139,139,216,459,720,1080,1080,1080,1080,1080
ftg,nguyen4,koza-erc,100,45,100,203,232,426,467,467,467,467,1004,1004
